"","lon","lat","id","owner","taken","upload","views","tags","title","imageURL","device"
"320","-78.711659","35.797041","24077024088","89333651@N00","2017-10-18 21:46:13","2017-10-25 16:42:25","14","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4480/24077024088_3dced434a4.jpg","samsung SM-G955U1"
"321","-78.712728","35.797080","24077021678","89333651@N00","2017-10-18 21:50:09","2017-10-25 16:42:26","9","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4507/24077021678_b88aa40cc8.jpg","samsung SM-G955U1"
"322","-78.710162","35.795483","24077019088","89333651@N00","2017-10-18 22:02:56","2017-10-25 16:42:27","17","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4496/24077019088_9abd6d928d.jpg","samsung SM-G955U1"
"323","-78.713014","35.795550","37897015282","89333651@N00","2017-10-18 21:21:16","2017-10-25 16:42:27","9","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4511/37897015282_3e13b185ef.jpg","samsung SM-G955U1"
"324","-78.713014","35.795550","37218478944","89333651@N00","2017-10-18 21:22:01","2017-10-25 16:42:28","9","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4477/37218478944_78caa7bf00.jpg","samsung SM-G955U1"
"325","-78.713014","35.795550","37218477244","89333651@N00","2017-10-18 21:22:14","2017-10-25 16:42:29","9","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4502/37218477244_ba4b9c3499.jpg","samsung SM-G955U1"
"326","-78.710162","35.795483","37897008112","89333651@N00","2017-10-18 22:03:03","2017-10-25 16:42:31","13","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4484/37897008112_159bcc7766.jpg","samsung SM-G955U1"
"327","-78.712764","35.796827","37928120391","89333651@N00","2017-10-18 21:43:53","2017-10-25 16:42:31","8","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4473/37928120391_8702656e5b.jpg","samsung SM-G955U1"
"328","-78.711659","35.797041","37928118851","89333651@N00","2017-10-18 21:46:15","2017-10-25 16:42:32","15","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4450/37928118851_fff65f7489.jpg","samsung SM-G955U1"
"329","-78.713014","35.795550","37928116671","89333651@N00","2017-10-18 21:17:20","2017-10-25 16:42:33","13","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4451/37928116671_af2872902c.jpg","samsung SM-G955U1"
"330","-78.713014","35.795550","37928115871","89333651@N00","2017-10-18 21:17:33","2017-10-25 16:42:34","9","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4502/37928115871_e41af2130e.jpg","samsung SM-G955U1"
"331","-78.713014","35.795550","37928114251","89333651@N00","2017-10-18 21:17:48","2017-10-25 16:42:36","8","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4487/37928114251_2de633a198.jpg","samsung SM-G955U1"
"332","-78.713014","35.795550","37928112811","89333651@N00","2017-10-18 21:25:42","2017-10-25 16:42:37","8","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4451/37928112811_5ec3142961.jpg","samsung SM-G955U1"
"333","-78.712764","35.796827","37928111301","89333651@N00","2017-10-18 21:43:58","2017-10-25 16:42:38","8","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4495/37928111301_aa4b6e0253.jpg","samsung SM-G955U1"
"334","-78.713014","35.795550","37896996372","89333651@N00","2017-10-18 21:18:27","2017-10-25 16:42:41","10","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4447/37896996372_51dc389644.jpg","samsung SM-G955U1"
"335","-78.712625","35.797025","37896994682","89333651@N00","2017-10-18 21:46:37","2017-10-25 16:42:42","8","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4504/37896994682_58b32f0603.jpg","samsung SM-G955U1"
